symbol,suggested_price
SUZLON.NS,54.0
BALUFORGE.NS,450.0
SALASAR.NS,18.12
RPOWER.NS,32.47
LLOYDSENGG.NS,85.59
GRANULES.NS,631.5
MOREPENLAB.NS,60.2
PDMJEPAPER.NS,124.18
POWERINDIA.NS,12039.0
SIKKO.NS,113.07
SUNDARMHLD.NS,289.15
KIRLOSBROS.NS,1357.6
CLEAN.NS,1649.8
GREENPLY.NS,370.05
HPL.NS,607.3
RVNL.NS,589.8
IRFC.NS,184.0
LUPIN.NS,2003.0
VENKEYS.NS,2295.75
SYMPHONY.NS,1658.0
UNIVASTU.NS,189.0
INSECTICID.NS,910.0
BBTC.NS,2351.0
INOXWIND.NS,208.55
GOLDIAM.NS,214.9
KITEX.NS,286.0
TIPSINDLTD.NS,711.95
KAYNES.NS,4868.0
BALRAMCHIN.NS,522.0
QUESS.NS,698.0
HITECH.NS,179.0
HSCL.NS,485.0
POLICYBZR.NS,1683.0
YATHARTH.NS,517.0
BEPL.NS,169.0
ITC.NS,505.0
INDOTHAI.NS,348.0
ISEC.NS,809.0
CDSL.NS,1568.0
KALYANKJIL.NS,616.0
SHRIRAMPPS.NS,132.0
ALPA.NS,111.0
GENUSPAPER.NS,27.0
BLKASHYAP.NS,116.0
JSWENERGY.NS,729.0
IGARASHI.NS,748.0
IFBIND.NS,2050.0
SUBROS.NS,807.0
VENUSPIPES.NS,2354.0
NHPC.NS,96.0
GSPL.NS,442.0
JIOFIN.NS,329.95
CAPLIPOINT.NS,1807.0
EPL.NS,254.0
BLS.NSE,444.0
BIOCON.NS,379.0
VEDL.NS,464.0
KNRCON.NS,333.0
PBAINFRA.NS,20.29

